Price,Beds,Baths,Sqft,Neighborhood,Amenities,URL
$3425,1,1,736,SOMA / south beach,"friendly Workspaces Community Info Experience The Brady, and, of, licenses Equal Housing Opportunity lSvL7oZNtx, Saturday: 10:00AM, 6:00PM https://www.greystar.com/en/disclosures, 6:00PM Sunday: 12:00PM",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bedroom-starting-at-3425/7918929058.html
"$5,102",2,2,903,hayes valley,"unit washer & dryer, and a balcony off the kitchen and walk, 13 month lease options available Parking: Type, IN SPECIAL Available Now, to, Ceiling, Garage Lot Fee",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-free-rent-credit-of-2472/7918928025.html
"$3,199",2,1,N/A,alamo square / nopa,"date information!, to",https://sfbay.craigslist.org/sfc/apa/d/fremont-non-smoking-community-ground/7916697246.html
"$4,000",2,1,N/A,richmond / seacliff,"Ring.com security system, Shared backyard—ideal for relaxing or entertaining, Kitchen: new countertops, new cabinets, new stainless, unit washer and dryer, Full size laundry in, Lighting:  Recessed fixtures, Heating and air conditioning split system with 4 zones, Ceramic tile flooring in kitchen and bathroom, 2 spacious bedrooms with ample closet space, Hardwood floors throughout, 1 full bathroom with shower only with radiant heated bathroom floor, a LED light mirror, refundable credit/background check fee of $50.00 per occupant, Bright and open living room, Window coverings cordless horizontal blinds, Street parking only",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-brand-new-modern-ground/7918927578.html
"$9,100",3,1,1250,laurel hts / presidio,"month lease with a move, in sunroom, garage, and basements for storage and laundry. 721",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-house-bdrm/7918926767.html
"$5,304",2,2,941,hayes valley,"Hour Front Desk & Security Service * Free Wi, IN SPECIAL *Available Now, 13 Month Options Parking: Type, bedroom, two, closing drawers! This apartment also features a balcony with downtown views and an in, unit washer and dryer. This GreenPoint, to, Ceiling, Garage Lot Fee",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-free-rent-credit-of-2580/7918926611.html
"$3,263",2,2,N/A,alamo square / nopa,"date information!, to",https://sfbay.craigslist.org/sfc/apa/d/fremont-2nd-floor-unit-with-patio-view/7918926367.html
"$3,955",2,2,883,downtown / civic / van ness,"from the solarium to the rooftops to the secluded courtyard Oasis, unit washer, market apartments, Now Open. 2 bedroom | 2 bath | 883 square feet Features ✓  Walk, in showers [ 1 ] ✓  In, style vinyl plank flooring ✓  Modern two, regis.aptdetails.com/2ngeca 50 Jones—brand new mid, guided tours, by appointment only. Schedule your tour today! Equal Housing Opportunity LJEksXSu8JE, hour on, tone cabinetry ✓  Meco Shade window blinds 1. in select apartment homes Community Features ✓  24",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-sky-terrace-in-unit/7918926206.html
$200,2,1,790,bayview,"and, of, licenses Equal Housing Opportunity d9xoMM96Mhvb, person, self, Saturday: 9:00AM, the",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-stunning-fitness-center/7918925997.html
"$3,647",2,1,573,downtown / civic / van ness,"and, of, 6PM Saturday, selected optional fees. Excludes variable or usage, Sunday: 10AM, in or at move, licenses Equal Housing Opportunity gSaKF64jlp, Friday: 9AM, based fees and required charges due at or prior to move, month lease) Community Info: The Trinity Collection is made of four towers designed by award, Site Management ✧  Public Transportation ✧  Sundeck ✧  Laundry Facilities ✧  On",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-tmlp-13-mo-weeks-free-on/7918925585.html
