Price,Beds,Baths,Sqft,Neighborhood,Latitude,Longitude,Address,Amenities,URL
"$3,845",1,1,N/A,western addition,37.779364,-122.433529,"1395 Golden Gate, San Francisco, CA, 94115","Income: 2.5x Rent, Renter's Insurance is Required, Pets: Allowed! No Pet Rent or Pet Deposit! (2 pet max), Breed Restrictions Apply, Lease: 1 Year, Application Fee: Yes, San Francisco, CA, Utilities: None Included, PROMOTIONS, $1000 With Approved Credit (Ask for Details) LEASE TERMS:, person tour! Please included the address and unit number in your message., * SECURITY DEPOSIT, Proof of Income: Offer Letter, Pay Stubs, Investment Statements, Savings, Managed by Brick and Timber, Brick and Timber Please Enjoy a 3D Virtual Tour Available Here",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1395-golden-gate-charming/7919622795.html
"$4,400",1,1,N/A,western addition,37.779364,-122.433529,"1395 Golden Gate, San Francisco, CA, 94115","Income: 2.5x Rent, Renter's Insurance is Required, Pets: Allowed! No Pet Rent or Pet Deposit! (2 pet max), Breed Restrictions Apply, Lease: 1 Year, Application Fee: Yes, San Francisco, CA, Utilities: None Included, PROMOTIONS, $1000 With Approved Credit (Ask for Details) LEASE TERMS:, person tour! Please included the address and unit number in your message., * SECURITY DEPOSIT, Proof of Income: Offer Letter, Pay Stubs, Investment Statements, Savings, Managed by Brick and Timber, Brick and Timber Please Enjoy a 3D Virtual Tour Available Here",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1395-golden-gate-stunning/7919622218.html
"$3,790",1,1,N/A,hayes valley,37.778841,-122.422615,"355 Fulton, San Francisco, CA, 94102","Income: 2.5x Rent, Renter's Insurance is Required, Pets: Allowed! No Pet Rent or Pet Deposit! (2 pet max), Breed Restrictions Apply, Lease: 1 Year, Application Fee: Yes, San Francisco, CA, Utilities: None Included, PROMOTIONS, $1000 With Approved Credit (Ask for Details) LEASE TERMS:, person tour! Please included the address and unit number in your message., * SECURITY DEPOSIT, Proof of Income: Offer Letter, Pay Stubs, Investment Statements, Savings, Managed by Brick and Timber, Brick and Timber Please Enjoy a 3D Virtual Tour Available Here",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-355-fulton-beautiful-1x1/7919621479.html
"$1,100",1,1,700,"San Francisco, CA",37.744580,-122.421590,"154 Tiffany Ave #A, San Francisco, CA, 94110","concept kitchen with new all, electric appliances (induction stove), new in, bedroom, 1",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-and-clean-bedroom/7919621316.html
"$5,000",2,1,N/A,inner richmond,37.777416,-122.483467,"643 24th Ave, San Francisco, CA, 94121",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-2b-1b-flat-for/7919621099.html
"$4,900",2,2,N/A,noe valley,37.753853,-122.426126,"mersey, San Francisco, CA, 94110",Stone Surround Shower Over Tub New Kitchen,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-two-bedroom-two-bathroom/7919619333.html
"$1,175",2,1,N/A,"San Francisco, CA",37.709818,-122.452427,"938 Huron Ave, Daly City, CA, 94016",dryer onsite. Shared backyard.,https://sfbay.craigslist.org/sfc/apa/d/daly-city-great-deal-dont-miss-out-view/7919619101.html
N/A,N/A,N/A,N/A,city of san francisco,,,,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-updated-2br-1ba-unit/7919620882.html
"$1,000",1,1,N/A,"San Francisco, CA",37.774490,-122.449283,"1985 Grove St #23R, San Francisco, CA, 94117","over, tub and vanity, as well as a large walk",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1985-grove-street-is/7919619098.html
$920,N/A,N/A,N/A,north beach / telegraph hill,37.797772,-122.414560,"kearny, San Francisco, CA, 94109","hotel/guestlogin.aspx *Call, Walk, beach, Map data © OpenStreetMap 935 Kearny near Columbus google map show contact info",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-unbelievable-rate/7914844734.html
"$1,675",0,1,N/A,tenderloin,37.786550,-122.414572,"685 Geary, San Francisco, CA, 94108","Income: 2.5x Rent, Pets: Allowed No Pet Rent!, Renter's Insurance is Required, Lease: 1 Year, Application Fee: Yes, San Francisco, CA, Utilities: None Included, No Pet Deposit. (2 pet max), Breed Restrictions Apply, PROMOTIONS, $1000 With Approved Credit (Ask for Details) LEASE TERMS:, * SECURITY DEPOSIT, Proof of Income: Offer Letter, Pay Stubs, Investment Statements, Savings, Managed by Brick and Timber, Brick and Timber Please Enjoy a 3D Virtual Tour Available Here",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-685-geary-awesome-studio/7919619789.html
"$1,745",0,1,N/A,tenderloin,37.786550,-122.414572,"685 Geary, San Francisco, CA, 94108","Income: 2.5x Rent, Pets: Allowed No Pet Rent!, Renter's Insurance is Required, Lease: 1 Year, Application Fee: Yes, San Francisco, CA, Utilities: None Included, No Pet Deposit. (2 pet max), Breed Restrictions Apply, PROMOTIONS, $1000 With Approved Credit (Ask for Details) LEASE TERMS:, * SECURITY DEPOSIT, Proof of Income: Offer Letter, Pay Stubs, Investment Statements, Savings, Managed by Brick and Timber, Brick and Timber Please Enjoy a 3D Virtual Tour Available Here",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-685-geary-awesome-studio/7919619395.html
"$1,745",0,1,N/A,tenderloin,37.786550,-122.414572,"685 GEARY #304, San Francisco, CA, 94108",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-apt-perfect-for/7919619088.html
"$2,275",0,1,N/A,lower nob hill,37.789641,-122.412851,"947 BUSH ST #5, San Francisco, CA, 94108",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-947-bush-studio-available/7919619047.html
"$1,675",0,1,N/A,tenderloin,37.785965,-122.414695,"540 LEAVENWORTH #303, San Francisco, CA, 94108",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-apt-540/7919619003.html
N/A,N/A,N/A,N/A,"San Francisco, CA",,,,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-welcome-to-carillon-tower/7919615806.html
"$1,845",0,1,N/A,tenderloin,37.791700,-122.418600,"691 O'FARRELL #206, San Francisco, CA, 94109","Lease Duration: 12 months Community Amenities Elevator, Walk In Closet (In Select Units), Compact galley, Maintenance Support Service Apartment Amenities Dishwasher (In Select Units), Unit Washer/Dryer (In Select Units) Location Highlights:, Bathroom with bathtub and shower, Resident Support Service, Common Area Laundry, size refrigerator, warm wood flooring, and natural light from a window., Lovely countertop with plenty of cupboards, Online Payment Portal, In, Garage, Conveniently close to public transportation, making commuting around San Francisco a breeze., Gated Entry, Easy access to essential amenities with cafes, restaurants, and shops just a short walk away., Pet Friendly, Gorgeous flooring throughout the unit Lease Terms:",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-691-ofarrell-studio-apt/7919618967.html
"$5,645",2,2,N/A,marina / cow hollow,37.796999,-122.447079,"2844 LYON #504, San Francisco, CA, 94123","bedroom unit with a walk, Smoke Free, Countertop with plenty of cupboards, Nearby Park, Resident Manager, Community Notice Board, Lease Duration: 12 months Community Amenities Intercom Access, Pet Friendly, 2 bathrooms with en, Maintenance Support Service Location Highlights:, Open concept living and dining room, Trash / Recycling / Compost, in closet, In, Shared Common Backyard, unit washer and dryer Lease Terms:, minute drive to Safeway., Stunning 2, Kitchen with stainless steel appliances, including dishwasher, refrigerator, and stove, Resident Support Service, suite bath, 6, Online Payment Portal",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-marina-2be-2ba-2844-lyon/7919618930.html
"$2,985",0,1,N/A,nob hill,37.792709,-122.418504,"1547 CLAY #102, San Francisco, CA, 94109","RENT CONTROLLED Contact: Sue: show contact info Leasing Agent DRE 02187139 www.rentbt.com, UTILITIES ARE NOT INCLUDED, PETS ARE WELCOME",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1547-clay-st-nob-hill/7919618893.html
"$2,845",0,1,N/A,pacific heights,37.792841,-122.424518,"1900 WASHINGTON #2, San Francisco, CA, 94109","Lease Duration: 12 months Community Amenities Elevator, Surrounded by popular Polk Street restaurants, cafes, and local boutiques., minute walk., 1, Maintenance Support Service, Common Area Laundry Location Highlights:, Just 10 minutes to California Pacific Medical Center and other nearby clinics., bath with tub and shower, Resident Support Service, Sleek countertop and multiple cupboards, Online Payment Portal, Storage, Steps from Lafayette Park, Whole Foods, and Trader Joe’s – all within a 5, Garage, Easy access to Muni lines, cable cars, and major bus routes around the city., Pet Friendly, Gorgeous flooring throughout the unit Lease Terms:, Kitchen equipped with refrigerator and stove",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1900-washington-studio/7919618832.html
"$1,890",0,1,N/A,tenderloin,37.791700,-122.418600,"691 O'FARRELL #201, San Francisco, CA, 94109","Lease Duration: 12 months Community Amenities Elevator, Walk In Closet (In Select Units), Gorgeous flooring throughout the unit, Pet Friendly, Bathroom with shower, Garage, Common Area Laundry, In, unit washer and dryer Lease Terms:, Kitchen equipped with refrigerator and stove, Maintenance Support Service Apartment Amenities Dishwasher (In Select Units), Unit Washer/Dryer (In Select Units) Location Highlights:, Spacious Studio with generous closet space, Gated Entry, Easy access to essential amenities with cafes, restaurants, and shops just a short walk away., Resident Support Service, Lovely countertop with plenty of cupboards, Online Payment Portal, Conveniently close to public transportation, making commuting around San Francisco a breeze.",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-691-ofarrell-studio-apt/7919618800.html
"$1,745",0,1,N/A,tenderloin,37.786550,-122.414572,"685 GEARY #304, San Francisco, CA, 94108","Open Concept Studio, Smoke Free, Lease Duration: 12 months Community Amenities Storage, Maintenance Support Service, Nearby Park, Elevator, Resident Manager, Resident Support Service, Pet Friendly, Gated Entry Apartment Amenities Storage Location:, Security Cameras, Online Payment Portal, Intercom Access, Shared Common Backyard, Trash / Recycling / Compost, Sleek countertop and multiple cupboards Lease Terms:, Updated Bathroom and full kitchen.",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-685-geary-studio-apt/7919618769.html
"$4,435",1,1,N/A,pacific heights,37.802929,-122.434335,"1660 BAY #201, San Francisco, CA, 94123","style countertops, sleek cabinetry, and a glossy tile backsplash in a clean, efficient layout., Beautiful Flooring. Lease Terms:, Walk In Closet (In Select Units), Modern galley kitchen featuring stainless steel appliances, quartz, Pet Friendly, unit washer and dryer for convenience., Maintenance Support Service, In, Bathroom with a bathtub and walk, Lovely countertops and multiple cupboards., Elevator, Beautifully renovated and bright 1 bedroom., Lease Duration: 12 months. Location:, in shower., Storage Apartment Amenities Dishwasher (In Select Units), Views (In Select Units), Resident Support Service, Bike Storage, Courtyard, Online Payment Portal",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1660-bay-st-1bed-apt/7919618728.html
"$4,200",2,1,N/A,laurel hts / presidio,37.785225,-122.479731,"140 20TH AVE #106, San Francisco, CA, 94121","Presidio Park quick walk away., Utilities not included., 12 months duration., Access to public transit., Rent controlled.",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-laurel-heights-by-lake-st/7919618643.html
"$3,345",1,1,N/A,lower nob hill,37.818774,-122.369825,"845 CALIFORNIA #402, San Francisco, CA, 94130","Updated kitchen with stainless steel appliances including a full, size refrigerator, gas range with oven, built, in dishwasher, and modern vent hood. Quartz, Common Area Laundry Apartment Amenities Dishwasher (In Select Units), Lease Duration: 12 months. Community Amenities Elevator, Views (In Select Units), Walk In Closet (In Select Units), Bright living area with large windows, Maintenance Support Service, Resident Support Service, Pet Friendly, Unit Washer/Dryer (In Select Units) Key Location Features:, Storage, In, Online Payment Portal, in shower., Spacious 1 bedroom with walk in closet, Bathroom with a bathtub and walk",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-845-california-lower-nob/7919618610.html
"$1,745",0,1,N/A,tenderloin,37.791700,-122.418600,"601 O'FARRELL #411, San Francisco, CA, 94109","Walk In Closet (In Select Units), Sunlit and spacious studio, Short walk to essential retail stores, restaurants, and cafes, ensuring convenience., size fridge—efficiently designed for studio living. Lease Terms:, Pet Friendly, Maintenance Support Service, Close to Union Square, Nob Hill, and the bustling neighborhoods of Lower Nob Hill and Tenderloin., In, Unit Washer/Dryer (In Select Units) Key Location Features:, Common Area Laundry Apartment Amenities Dishwasher (In Select Units), Gated Entry, Compact, modern kitchenette featuring stainless, Lease Duration: 12 months. Community Amenities Elevator, Views (In Select Units), Resident Support Service, steel appliances, dark shaker cabinets, a gas stove, dishwasher, and a full, Storage, Online Payment Portal, Bathroom with a bathtub and shower",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-apt-available-601/7919618576.html
"$3,500",2,1,N/A,lower nob hill,37.789641,-122.412851,"947 BUSH #212, San Francisco, CA, 94108","bedroom unit, Kitchen equipped with refrigerator and stove. Lease Terms:, Gas stove, Beautiful 2, Maintenance Support Service, Generous closet spaces, Resident Support Service, Hardwood Flooring Location:, Storage, Refrigerator, Bathroom with bathtub and shower., Common Area Laundry Apartment Amenities, Online Payment Portal, Gated Entry, Pet Friendly, Walk In Closet",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2be-1ba-947-bush-lower/7919618407.html
"$1,745",0,1,N/A,lower nob hill,37.789641,-122.412851,"947 BUSH #7, San Francisco, CA, 94108",,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-apt-947-bush/7919618371.html
"$3,745",1,1,N/A,pacific heights,37.791418,-122.442827,"2898 JACKSON ST #100, San Francisco, CA, 94115","Lease Duration: 12 months Community Amenities Garage, Storage Apartment Amenities Balcony (In Select Units), Views (In Select Units), Walk In Closet (In Select Units), Maintenance Support Service, Dishwasher (In Select Units), Elevator, Bathroom with bathtub and shower, Resident Support Service, Common Area Laundry, Pet Friendly, Lovely countertop with plenty of cupboards, Unit Washer/Dryer (In Select Units) Key Location Features:, In, Online Payment Portal, Bright and beautiful 1 bedroom, Gorgeous flooring throughout the unit Lease Terms:, Kitchen equipped with refrigerator and stove",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-pac-heights-1be-1ba/7919618350.html
"$4,200",1,1,N/A,marina / cow hollow,37.799900,-122.434200,"15&27 ALHAMBRA #103, San Francisco, CA, 94123","Lease Duration: 12 months. Community Amenities Maintenance Support Service, Walk In Closet (In Select Units) Location:, Bright and beautifully renovated 1, unit washer and dryer. Lease Terms:, Easy access to downtown and the freeway!, Pet Friendly, Kitchen with energy, Convenient in, Shared Common Backyard Apartment Amenities Dishwasher (In Select Units), Steps away from public transportation, Close walk to the Palace of Fine Arts, Presidio, and Golden Gate Bridge!, Short Walk to Marina Safeway and shops!, Beautiful flooring throughout., efficient stainless steel appliances, including dishwasher, refrigerator, and stove., Near neighborhood restaurants, bars, and local groceries!, Bathroom with bathtub and shower., Lovely countertops with plenty of cupboards., bedroom., Resident Support Service, Courtyard, Online Payment Portal",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-15-alhambra-marina-1be/7919618320.html
"$3,125",0,1,N/A,russian hill,37.799540,-122.423734,"1472 FILBERT #204, San Francisco, CA, 94109","LeasingApts www.rentbt.com, Russian Hill District kissing the Marina District beautiful scenic area., Fort Mason nearby., Walking distance to Polk Gulch restaurants, nightlife, gyms, and markets.",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-apt-in-russian/7919618248.html
"$3,695",1,1,N/A,pacific heights,37.790760,-122.426709,"2055 SACRAMENTO #605, San Francisco, CA, 94109","style countertops, sleek cabinetry, and a glossy tile backsplash in a clean, efficient layout., Walk In Closet (In Select Units), Modern galley kitchen featuring stainless steel appliances, quartz, Pet Friendly, Maintenance Support Service, In, Bathroom with a bathtub and walk, Lovely countertops and multiple cupboards., Elevator, Lease Duration: 12 months. Location:, in shower., Storage Apartment Amenities Dishwasher (In Select Units), Views (In Select Units), Plenty of windows and views., Resident Support Service, Bike Storage, Courtyard, Online Payment Portal, Warm and inviting living space with plush carpet. Lease Terms:",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2055-sacramento-across/7919618195.html
